id;entrega;diagnostico;comconpers;motivación
352;0.6957;1;0.35;0.6
353;0.1556;1;0.35;0.6
354;0.9779;1;0.35;0.6
355;0.971;0;0.35;0.6
356;0.9783;0;0.35;0.6
357;0.4892;1;0.35;0.4
358;0.5899;0;0.35;0.4
359;0.3913;0;0.35;0.4
360;0.2464;0.5;0.35;0.4
361;0.9855;1;0.35;0.4
362;0.9783;1;0.35;0.4
363;0.9928;1;0.35;0.4
364;0.913;1;0.35;0.4
365;0.9058;1;0.35;0.4
366;0.6232;0;0.35;0.2
367;0.9275;1;0.35;0.2
368;1,00;0;0.316666666666667;1
369;0.8963;1;0.316666666666667;1
370;1,00;1;0.316666666666667;0.8
371;0.9848;1;0.316666666666667;0.6
372;0.8417;1;0.316666666666667;0.6
373;1,00;1;0.311111111111111;1
374;0.9924;0.5;0.311111111111111;1
375;0.3525;0.5;0.311111111111111;1
376;0.6739;1;0.311111111111111;1
377;1,00;1;0.311111111111111;1
378;0.9924;1;0.311111111111111;0.8
379;0.9773;0;0.311111111111111;0.8
380;0.8417;1;0.311111111111111;0.8
381;0.9466;0;0.311111111111111;0.8
382;0.9281;1;0.311111111111111;0.8
383;0.5109;0;0.311111111111111;0.8
384;0.9704;1;0.311111111111111;0.8
385;0.5899;1;0.311111111111111;0.6
386;0.3261;1;0.311111111111111;0.6
387;0.3261;1;0.311111111111111;0.4
388;0.9697;1;0.3;1
389;1,00;1;0.3;1
390;1,00;1;0.3;1
391;1,00;1;0.3;1
392;0.9856;1;0.3;1
393;0.9784;1;0.3;1
394;1,00;1;0.3;1
395;0.8705;1;0.3;1
396;0.9712;1;0.3;1
397;0.5652;1;0.3;1
398;0.8913;0;0.3;1
399;0.8116;1;0.3;1
400;0.9481;1;0.3;1
401;0.9926;1;0.3;1
402;0.9191;1;0.3;1
403;0.6894;1;0.3;0.8
404;0.9281;1;0.3;0.8
405;0.8705;1;0.3;0.8
406;0.6619;1;0.3;0.8
